scenario,algorithm,seed,total_regret,mean_regret,physical_probes,remote_substitutions,communication_bytes,bad_aggressive_decisions,aggressive_decisions,policy_switches,recovery_delay_1,recovery_delay_2,total_decision_ops,mean_decision_ops,information_gain,information_per_probe,information_per_regret,max_state_count
baseline_adversarial,ITAC_K_NoHysteresis,21,16618.057295280603,3.6929016211734673,3520,173,19456,160,3134,691,0.0,0.0,50772,11.282666666666668,53.477935741477225,0.015192595381101485,0.0032180618222242222,19
baseline_adversarial,Greedy,22,28996.31922835992,6.4436264951910935,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,22,29449.449495845554,6.544322110187901,40,0,0,10,1061,20,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,22,28192.537925927285,6.265008427983841,469,0,0,50,1505,454,,17.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,22,31099.11465980549,6.910914368845665,212,0,0,30,1035,331,,,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,22,29733.86542414985,6.607525649811078,85,0,0,15,1082,164,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,22,16921.52807525184,3.7603395722781867,3499,198,22040,172,3093,668,3.0,0.0,50788,11.286222222222221,58.66226175818583,0.016765436341293464,0.0034667236609665798,19
baseline_adversarial,ITAC_K_LocalOnly,22,19294.84258011413,4.287742795580918,4438,0,9728,174,2897,778,8.0,0.0,53752,11.944888888888888,57.87994661540511,0.01304189874164153,0.0029997625725673447,19
baseline_adversarial,ITAC_K_GenericVoI_Local,22,21135.008312074922,4.696668513794427,4500,0,10412,173,2755,718,8.0,0.0,54000,12.0,60.44508690499222,0.013432241534442717,0.0028599509407554167,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,22,14635.402794086609,3.2523117320192463,2667,663,55936,152,3200,604,0.0,0.0,49320,10.96,54.83843449665489,0.020561842705907347,0.003746971317988747,19
baseline_adversarial,ITAC_K_NoKinematics,22,16921.52807525184,3.7603395722781867,3499,197,21964,172,3093,668,3.0,0.0,50784,11.285333333333334,58.66173621149477,0.016765286142181986,0.0034666926030923312,19
baseline_adversarial,ITAC_K_NoHysteresis,22,15975.366100981864,3.550081355773748,2652,180,19988,139,3071,590,8.0,0.0,47328,10.517333333333333,60.20077743173647,0.022700142319659302,0.0037683504122034777,19
